trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
235,False,"{'a': 0.1, 'e': 0.692771536807968}",20,0,-45.14917653306032,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
236,False,"{'a': 0.1, 'e': 0.6904624121834408}",25,0,-44.00998224038862,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
237,False,"{'a': 0.1, 'e': 0.688148526008529}",25,9,-48.14711854789919,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
238,False,"{'a': 0.1, 'e': 0.6858299361302664}",20,0,-52.59262835478286,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
239,False,"{'a': 0.1, 'e': 0.6835067005132792}",25,3,-95.81281614185399,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 1}",1
240,False,"{'a': 0.1, 'e': 0.6811788772383368}",20,0,-104.12471949623288,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
241,False,"{'a': 0.1, 'e': 0.6788465245008998}",25,17,-39.54527739836765,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
242,False,"{'a': 0.1, 'e': 0.6765097006096652}",25,0,-45.270172443095696,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
243,False,"{'a': 0.1, 'e': 0.6741684639851084}",20,0,-137.7571955573795,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
244,False,"{'a': 0.1, 'e': 0.6718228731580236}",20,12,-23.26907697273018,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 0}",1
245,False,"{'a': 0.1, 'e': 0.6694729867680587}",20,0,-6.783946050882159,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",1
246,False,"{'a': 0.1, 'e': 0.6671188635622514}",30,14,-6.282744867524896,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
247,False,"{'a': 0.1, 'e': 0.664760562393559}",25,1,-81.89749429358028,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 2}",1
248,False,"{'a': 0.1, 'e': 0.6623981422193881}",20,0,-53.94031188465687,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
249,False,"{'a': 0.1, 'e': 0.6600316621001199}",20,13,4.466281605289037,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.1, 'e': 0.6576611811976343}",35,0,-59.90746274749349,"{0: 24, 1: 6, 2: 4, 3: 1, 4: 0}",0
251,False,"{'a': 0.1, 'e': 0.6552867587738302}",30,0,-60.40769890879847,"{0: 25, 1: 3, 2: 0, 3: 0, 4: 2}",1
252,False,"{'a': 0.1, 'e': 0.6529084541891447}",25,0,-213.18453213538268,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 4}",0
